Time_s,Tank_Pressure_bar,Comb_Pressure_Fwd_bar,Comb_Pressure_Aft_bar,Thrust_N
0,50.14154234,-0.008789992,0.012752683,3.23564561
0.0002,50.20266556,-0.043321611,0.034761812,4.17498661
0.0004,50.19044092,-0.015068468,0.00646436,5.35696361
0.0006,50.15376698,-0.005650754,0.019041006,5.41762261
0.0008,50.25156414,-0.01192923,0.019041006,7.35696361
0.001,50.13543001,0.00376696,0.012752683,11.66025861
0.0012,50.14154234,-0.015068468,0.02847349,14.8422356
0.0014,50.07430679,0.00376696,0.041050135,17.8422356
0.0016,49.9398357,-0.008789992,0.031617651,24.0848716
0.0018,50.03763286,-0.008789992,0.019041006,28.3881666
0.002,50.05596983,-0.024486182,0.00646436,28.5701436
0.0022,49.96428499,0.010045436,0.009608522,28.63080259
0.0024,49.92761106,0.057134007,0.031617651,28.75212059
0.0026,50.01929589,-0.002511516,0.00646436,28.93409759
0.0028,50.09264376,-0.015068468,-0.021833091,29.11607459
0.003,50.06208215,-0.01192923,0.012752683,29.11607459
0.0032,50.19044092,-0.01192923,0.019041006,29.35871059
0.0034,50.08653144,-0.024486182,-0.012400607,29.29805159
0.0036,50.08653144,0.035159341,0.003320199,29.54068758
0.0038,50.14765466,-0.043321611,0.025329328,29.72266458
0.004,50.14765466,0.035159341,0.009608522,29.48002858
0.0042,50.16599163,0.00376696,0.009608522,29.84398258
0.0044,50.17821627,-0.024486182,0.015896844,29.96530058
0.0046,50.14765466,-0.01192923,0.031617651,30.02595958
0.0048,50.16599163,-0.008789992,0.025329328,30.14727758
0.005,50.11098073,0.013184674,0.034761812,30.26859557
0.0052,50.25156414,-0.024486182,0.025329328,30.51123157
0.0054,50.11709305,-0.030764659,0.02847349,30.69320857
0.0056,50.12931769,-0.024486182,0.022185167,30.81452657
0.0058,50.06819447,-0.033903897,0.019041006,31.05716256
0.006,50.01318357,-0.015068468,0.019041006,31.11782156
0.0062,50.03763286,0.025741627,0.025329328,30.93584457
0.0064,49.90316177,0.00376696,0.00646436,31.11782156
0.0066,50.04374518,0.013184674,-0.006112285,31.17848056
0.0068,50.13543001,-0.055878563,-0.012400607,31.29979856
0.007,50.06819447,0.000627722,0.003320199,31.17848056
0.0072,50.08653144,0.01946315,0.000176038,31.11782156
0.0074,50.12931769,-0.018207706,0.003320199,31.05716256
0.0076,50.06819447,0.016323912,-0.002968124,31.05716256
0.0078,50.08041911,-0.040182373,0.003320199,31.17848056
0.008,50.19044092,-0.018207706,0.003320199,31.05716256
0.0082,50.0498575,-0.027625421,0.012752683,31.23913956
0.0084,50.09875608,-0.046460849,0.012752683,30.93584457
0.0086,50.23933949,-0.024486182,0.025329328,31.29979856
0.0088,50.16599163,-0.018207706,0.019041006,31.17848056
0.009,50.09264376,-0.024486182,0.025329328,31.36045756
0.0092,50.34324897,-0.018207706,0.025329328,31.54243456
0.0094,50.15376698,-0.046460849,0.019041006,31.54243456
0.0096,50.16599163,0.006906198,0.025329328,31.48177556
0.0098,50.08653144,0.013184674,0.019041006,31.60309356
0.01,50.00707125,0.016323912,-0.006112285,31.60309356
0.0102,50.03152054,0.028880865,0.019041006,31.66375256
0.0104,49.96428499,0.00376696,0.025329328,31.60309356
0.0106,49.97039731,-0.002511516,0.003320199,31.72441156
0.0108,50.06208215,-0.018207706,-0.031265575,31.96704755
0.011,50.08653144,-0.030764659,-0.021833091,31.78507056
0.0112,50.0498575,0.00376696,0.000176038,31.90638855
0.0114,50.17210395,-0.021346944,-0.015544769,31.72441156
0.0116,49.9948466,-0.01192923,0.000176038,31.60309356
0.0118,50.03152054,-0.030764659,-0.009256446,31.78507056
0.012,50.12320537,-0.043321611,-0.002968124,31.54243456
0.0122,50.12320537,-0.030764659,0.022185167,31.60309356
0.0124,50.09875608,-0.033903897,-0.009256446,31.60309356
0.0126,50.24545182,-0.015068468,0.003320199,31.48177556
0.0128,50.24545182,-0.024486182,0.019041006,31.42111656
0.013,50.1598793,-0.049600087,-0.006112285,31.48177556
0.0132,50.13543001,-0.015068468,0.019041006,31.48177556
0.0134,50.17821627,-0.002511516,0.012752683,31.42111656
0.0136,50.17821627,0.022602389,0.009608522,31.23913956
0.0138,50.14154234,0.00376696,0.022185167,31.29979856
0.014,49.91538641,0.010045436,0.025329328,31.23913956
0.0142,49.9948466,0.010045436,0.003320199,31.48177556
0.0144,50.06208215,-0.008789992,0.012752683,31.05716256
0.0146,49.82370158,0.006906198,0.000176038,30.81452657
0.0148,50.01318357,-0.015068468,-0.031265575,31.05716256
0.015,50.06819447,-0.002511516,-0.046986382,31.05716256
0.0152,50.03763286,-0.008789992,0.019041006,30.75386757
0.0154,50.0498575,0.000627722,-0.012400607,30.81452657
0.0156,50.16599163,0.00376696,-0.012400607,30.93584457
0.0158,50.06208215,-0.008789992,0.009608522,30.93584457
0.016,50.13543001,-0.049600087,-0.009256446,30.69320857
0.0162,50.23933949,-0.065296277,-0.01868893,30.69320857
0.0164,50.07430679,-0.043321611,0.00646436,30.81452657
0.0166,50.11709305,0.00376696,0.000176038,30.57189057
0.0168,50.14765466,-0.037043135,-0.009256446,31.05716256
0.017,50.11709305,0.000627722,0.019041006,30.57189057
0.0172,50.17821627,-0.021346944,0.009608522,30.69320857
0.0174,50.09264376,-0.005650754,0.00646436,30.69320857
0.0176,50.07430679,-0.024486182,0.000176038,30.38991357
0.0178,50.1598793,-0.01192923,0.00646436,30.20793657
0.018,49.93372338,-0.021346944,0.012752683,30.26859557
0.0182,49.95817267,0.022602389,0.015896844,30.14727758
0.0184,49.94594802,0.00376696,0.000176038,29.84398258
0.0186,49.95817267,0.022602389,0.000176038,29.60134658
0.0188,49.98873428,-0.008789992,0.012752683,29.66200558
0.019,50.16599163,0.000627722,-0.040698059,29.66200558
0.0192,50.09875608,0.053994769,-0.037553898,29.48002858
0.0194,50.02540821,-0.043321611,-0.006112285,29.29805159
0.0196,50.08653144,0.000627722,-0.006112285,29.35871059
0.0198,50.11709305,0.013184674,-0.012400607,29.54068758
0.02,50.05596983,-0.008789992,-0.012400607,29.29805159
0.0202,50.19044092,-0.084131706,0.009608522,29.29805159
0.0204,50.03763286,-0.049600087,-0.01868893,29.35871059
0.0206,50.16599163,0.006906198,0.019041006,29.35871059
0.0208,50.20877788,-0.068435515,0.012752683,29.41936958
0.021,50.11709305,-0.005650754,0.00646436,29.23739259
0.0212,50.22100253,-0.008789992,0.00646436,29.17673359
0.0214,50.14765466,-0.018207706,0.025329328,29.23739259
0.0216,50.06208215,-0.043321611,0.00646436,29.05541559
0.0218,50.15376698,0.00376696,0.00646436,28.87343859
0.022,50.08041911,0.000627722,0.012752683,28.87343859
0.0222,50.00707125,0.028880865,0.00646436,28.75212059
0.0224,50.03763286,0.000627722,0.012752683,29.29805159
0.0226,49.92761106,-0.002511516,0.003320199,28.5094846
0.0228,49.93372338,-0.018207706,0.003320199,28.5701436
0.023,50.03152054,-0.021346944,-0.037553898,28.87343859
0.0232,50.06208215,0.010045436,-0.024977253,28.87343859
0.0234,50.08653144,0.01946315,-0.059563027,28.81277959
0.0236,50.07430679,0.00376696,-0.012400607,28.81277959
0.0238,50.01318357,0.00376696,-0.012400607,28.99475659
0.024,50.12320537,0.00376696,-0.009256446,29.17673359
0.0242,50.08653144,-0.059017801,-0.012400607,28.99475659
0.0244,50.17210395,-0.065296277,-0.009256446,29.29805159
0.0246,50.11098073,-0.01192923,-0.012400607,29.35871059
0.0248,50.25767646,-0.01192923,0.000176038,29.41936958
0.025,50.09875608,0.022602389,0.00646436,29.41936958
0.0252,50.23933949,-0.008789992,0.00646436,29.66200558
0.0254,50.22711485,-0.049600087,0.003320199,29.84398258
0.0256,50.00095892,-0.015068468,0.00646436,29.48002858
0.0258,50.19044092,-0.024486182,0.00646436,29.54068758
0.026,50.09875608,-0.005650754,0.000176038,29.72266458
0.0262,50.01929589,0.038298579,0.009608522,29.78332358
0.0264,49.93372338,-0.002511516,0.012752683,29.78332358
0.0266,49.96428499,0.000627722,0.000176038,29.54068758
0.0268,49.98262196,-0.002511516,-0.006112285,29.72266458
0.027,50.02540821,-0.049600087,-0.002968124,29.84398258
0.0272,50.12931769,0.022602389,-0.024977253,29.90464158
0.0274,49.98262196,0.00376696,0.00646436,29.90464158
0.0276,50.11098073,0.013184674,-0.002968124,30.14727758
0.0278,50.09875608,-0.008789992,-0.006112285,30.26859557
0.028,50.03152054,-0.008789992,-0.012400607,30.81452657
0.0282,50.11709305,-0.018207706,-0.01868893,30.32925457
0.0284,50.14154234,-0.09354942,-0.006112285,30.69320857
0.0286,50.09875608,-0.008789992,0.000176038,30.93584457
0.0288,50.09875608,-0.002511516,-0.012400607,30.93584457
0.029,50.1048684,-0.01192923,-0.012400607,30.81452657
0.0292,50.07430679,-0.01192923,0.022185167,31.11782156
0.0294,50.15376698,-0.030764659,0.003320199,31.23913956
0.0296,50.11709305,-0.043321611,0.009608522,31.17848056
0.0298,50.19655324,-0.030764659,0.02847349,30.99650357
0.03,50.20266556,-0.002511516,-0.002968124,31.17848056
0.0302,50.11098073,0.01946315,0.00646436,31.29979856
0.0304,50.06208215,-0.01192923,0.012752683,31.54243456
0.0306,49.98262196,0.022602389,0.000176038,30.99650357
0.0308,50.06819447,-0.005650754,0.000176038,31.23913956
0.031,50.06819447,-0.018207706,0.003320199,31.42111656
0.0312,50.0498575,-0.002511516,-0.021833091,31.42111656
0.0314,50.03763286,-0.008789992,-0.040698059,31.42111656
0.0316,50.03763286,0.016323912,-0.012400607,31.48177556
0.0318,50.07430679,0.006906198,-0.006112285,31.84572955
0.032,50.04374518,-0.021346944,-0.012400607,32.45231955
0.0322,50.12931769,-0.002511516,0.000176038,32.20968355
0.0324,49.98262196,-0.055878563,0.012752683,32.69495554
0.0326,50.11098073,-0.030764659,-0.006112285,33.05890954
0.0328,50.26990111,-0.043321611,0.015896844,33.24088654
0.033,50.1598793,0.006906198,0.00646436,33.54418153
0.0332,50.13543001,-0.01192923,0.000176038,33.84747653
0.0334,50.26378878,-0.043321611,0.009608522,34.15077153
0.0336,50.12320537,-0.002511516,-0.009256446,34.51472552
0.0338,50.16599163,-0.024486182,-0.002968124,34.21143053
0.034,50.12931769,0.041437817,-0.006112285,34.45406652
0.0342,50.12931769,-0.002511516,0.012752683,34.39340752
0.0344,50.09875608,-0.015068468,0.009608522,34.75736152
0.0346,49.95817267,-0.008789992,0.003320199,34.69670252
0.0348,50.01318357,0.00376696,-0.009256446,34.99999752
0.035,50.00707125,-0.024486182,-0.006112285,35.60658751
0.0352,49.9398357,-0.005650754,-0.006112285,35.78856451
0.0354,50.01929589,0.010045436,-0.034409737,35.9705415
0.0356,50.09875608,0.066551722,0.025329328,36.4558135
0.0358,50.00707125,-0.018207706,0.00646436,36.81976749
0.036,50.08041911,0.013184674,0.000176038,37.30503949
0.0362,50.08653144,0.00376696,-0.028121414,37.30503949
0.0364,50.17821627,-0.021346944,0.000176038,37.97228848
0.0366,50.04374518,-0.043321611,0.000176038,38.15426548
0.0368,50.19655324,-0.002511516,-0.012400607,38.57887847
0.037,50.13543001,-0.002511516,0.000176038,38.88217347
0.0372,50.14765466,-0.024486182,-0.009256446,39.42810446
0.0374,50.17821627,-0.024486182,0.009608522,39.91337646
0.0376,50.12931769,-0.018207706,0.000176038,39.97403545
0.0378,50.14765466,-0.037043135,0.012752683,40.64128445
0.038,50.19044092,-0.008789992,0.000176038,40.88392044
0.0382,50.09875608,0.044577055,0.012752683,41.30853344
0.0384,50.12320537,0.035159341,0.019041006,41.67248743
0.0386,50.00707125,0.000627722,0.00646436,41.79380543
0.0388,50.11098073,-0.018207706,0.00646436,42.27907743
0.039,50.06208215,-0.01192923,0.025329328,42.70369042
0.0392,50.07430679,0.013184674,-0.012400607,43.18896241
0.0394,50.03763286,0.016323912,-0.037553898,43.24962141
0.0396,50.12931769,0.022602389,-0.012400607,43.55291641
0.0398,50.06208215,-0.01192923,-0.009256446,44.0381884
0.04,50.1048684,-0.015068468,-0.012400607,44.3414834
0.0402,50.1048684,0.044577055,-0.002968124,44.5841194
0.0404,50.08041911,-0.002511516,-0.01868893,45.25136839
0.0406,50.09264376,-0.049600087,-0.01868893,45.79729938
0.0408,50.15376698,-0.01192923,-0.009256446,46.03993538
0.041,50.19655324,-0.002511516,0.00646436,46.76784337
0.0412,50.13543001,-0.005650754,0.003320199,47.25311536
0.0414,50.12931769,-0.043321611,0.019041006,47.73838736
0.0416,50.09264376,-0.008789992,0.009608522,48.16300035
0.0418,50.15376698,-0.033903897,0.019041006,48.70893135
0.042,50.22100253,-0.030764659,0.019041006,49.25486234
0.0422,50.15376698,0.010045436,0.003320199,49.67947533
0.0424,50.11709305,-0.002511516,0.012752683,50.10408833
0.0426,50.08653144,0.016323912,-0.006112285,50.46804232
0.0428,49.97039731,0.00376696,0.00646436,51.25660932
0.043,49.98873428,-0.01192923,0.003320199,51.68122231
0.0432,50.00707125,-0.024486182,0.003320199,51.92385831
