Time_s,Thrust_N
0,18.63377503
0.0002,18.63377503
0.0004,18.57311603
0.0006,18.63377503
0.0008,18.63377503
0.001,18.57311603
0.0012,18.69443403
0.0014,18.57311603
0.0016,18.69443403
0.0018,18.63377503
0.002,18.57311603
0.0022,18.69443403
0.0024,18.57311603
0.0026,18.69443403
0.0028,17.72389004
0.003,18.57311603
0.0032,18.57311603
0.0034,18.57311603
0.0036,18.57311603
0.0038,18.63377503
0.004,18.51245703
0.0042,18.57311603
0.0044,18.63377503
0.0046,18.45179803
0.0048,18.45179803
0.005,18.57311603
0.0052,18.63377503
0.0054,18.63377503
0.0056,18.69443403
0.0058,18.57311603
0.006,18.45179803
0.0062,18.63377503
0.0064,18.63377503
0.0066,18.57311603
0.0068,18.63377503
0.007,18.57311603
0.0072,18.57311603
0.0074,18.51245703
0.0076,18.63377503
0.0078,18.63377503
0.008,18.57311603
0.0082,18.63377503
0.0084,18.45179803
0.0086,18.63377503
0.0088,18.63377503
0.009,18.57311603
0.0092,18.69443403
0.0094,18.45179803
0.0096,18.57311603
0.0098,18.57311603
0.01,18.57311603
0.0102,18.51245703
0.0104,18.57311603
0.0106,18.57311603
0.0108,18.45179803
0.011,18.57311603
0.0112,18.57311603
0.0114,18.57311603
0.0116,18.51245703
0.0118,18.57311603
0.012,18.45179803
0.0122,18.63377503
0.0124,18.57311603
0.0126,18.51245703
0.0128,18.57311603
0.013,18.57311603
0.0132,18.69443403
0.0134,18.69443403
0.0136,18.75509303
0.0138,18.45179803
0.014,18.57311603
0.0142,18.57311603
0.0144,18.57311603
0.0146,18.57311603
0.0148,18.51245703
0.015,18.69443403
0.0152,18.57311603
0.0154,18.57311603
0.0156,18.63377503
0.0158,18.45179803
0.016,18.57311603
0.0162,18.69443403
0.0164,18.75509303
0.0166,18.63377503
0.0168,18.51245703
0.017,18.63377503
0.0172,18.63377503
0.0174,18.63377503
0.0176,21.48474799
0.0178,18.57311603
0.018,18.63377503
0.0182,18.69443403
0.0184,18.63377503
0.0186,18.63377503
0.0188,18.63377503
0.019,18.57311603
0.0192,18.57311603
0.0194,18.51245703
