Time_s,Thrust_N
0,-2.082585573
0.0002,-1.961267575
0.0004,-2.021926574
0.0006,-1.961267575
0.0008,-2.082585573
0.001,-2.082585573
0.0012,-2.082585573
0.0014,-2.082585573
0.0016,-2.203903572
0.0018,-1.961267575
0.002,-2.264562571
0.0022,-2.203903572
0.0024,-2.082585573
0.0026,-2.203903572
0.0028,-2.143244573
0.003,-2.203903572
0.0032,-1.961267575
0.0034,-2.021926574
0.0036,-2.082585573
0.0038,-2.264562571
0.004,-2.082585573
0.0042,-2.082585573
0.0044,-2.021926574
0.0046,-2.021926574
0.0048,-1.961267575
0.005,-2.021926574
0.0052,-2.082585573
0.0054,-1.961267575
0.0056,-2.143244573
0.0058,-2.021926574
0.006,-2.203903572
0.0062,-2.38588057
0.0064,-2.082585573
0.0066,-2.082585573
0.0068,-2.082585573
0.007,-2.143244573
0.0072,-2.082585573
0.0074,-2.082585573
0.0076,-2.082585573
0.0078,-2.082585573
0.008,-1.961267575
0.0082,-2.082585573
0.0084,-2.082585573
0.0086,-2.082585573
0.0088,-1.961267575
0.009,-2.082585573
0.0092,-2.082585573
0.0094,-1.961267575
0.0096,-2.021926574
0.0098,-1.900608576
0.01,-1.961267575
0.0102,-2.021926574
0.0104,-2.082585573
0.0106,-2.021926574
0.0108,-2.082585573
0.011,-1.961267575
0.0112,-2.082585573
0.0114,-1.961267575
0.0116,-1.961267575
0.0118,-2.021926574
0.012,-2.082585573
0.0122,-1.839949576
0.0124,-2.021926574
0.0126,-1.961267575
0.0128,-2.082585573
0.013,-1.961267575
0.0132,-2.082585573
0.0134,-1.961267575
0.0136,-2.082585573
0.0138,-2.082585573
0.014,-2.082585573
0.0142,-2.203903572
0.0144,-2.021926574
0.0146,-2.082585573
0.0148,-1.961267575
0.015,-2.021926574
0.0152,-1.900608576
0.0154,-1.961267575
0.0156,-1.961267575
0.0158,-1.961267575
0.016,-1.839949576
0.0162,-1.900608576
0.0164,-1.900608576
0.0166,-2.082585573
0.0168,-1.900608576
0.017,-1.900608576
0.0172,-2.021926574
0.0174,-1.900608576
0.0176,-1.961267575
0.0178,-1.961267575
0.018,-1.839949576
0.0182,-2.143244573
0.0184,-1.961267575
0.0186,-1.961267575
0.0188,-2.021926574
0.019,-1.961267575
0.0192,-1.961267575
0.0194,-1.839949576
0.0196,-1.839949576
0.0198,-1.839949576
0.02,-1.839949576
0.0202,-1.900608576
0.0204,-1.839949576
0.0206,-1.900608576
0.0208,-1.900608576
0.021,-1.839949576
0.0212,-1.961267575
0.0214,-1.657972579
0.0216,-2.021926574
0.0218,-1.900608576
0.022,-1.718631578
0.0222,-1.779290577
0.0224,-1.839949576
0.0226,-1.839949576
0.0228,-1.779290577
0.023,-1.839949576
0.0232,-1.779290577
0.0234,-1.718631578
0.0236,-1.718631578
0.0238,-1.718631578
0.024,-1.718631578
0.0242,-1.657972579
0.0244,-8.148485499
0.0246,-1.597313579
0.0248,-1.657972579
0.025,-1.657972579
0.0252,-1.53665458
0.0254,-1.597313579
0.0256,-1.657972579
0.0258,-1.475995581
0.026,-1.657972579
0.0262,-1.657972579
0.0264,-1.475995581
0.0266,-1.294018583
0.0268,-1.415336582
0.027,-1.53665458
0.0272,-1.475995581
0.0274,-0.505451593
0.0276,-1.415336582
0.0278,-1.354677582
0.028,-1.294018583
0.0282,-1.475995581
0.0284,-1.294018583
0.0286,-1.415336582
0.0288,-1.354677582
0.029,-1.354677582
0.0292,-1.415336582
0.0294,-1.294018583
0.0296,-1.354677582
0.0298,-1.294018583
0.03,-1.051382586
0.0302,-1.415336582
0.0304,-1.172700585
0.0306,-1.294018583
0.0308,-1.112041585
0.031,-1.172700585
0.0312,-1.172700585
0.0314,-1.051382586
0.0316,-1.112041585
0.0318,-1.172700585
0.032,-0.930064588
0.0322,-1.112041585
0.0324,-1.051382586
0.0326,-1.051382586
0.0328,-1.051382586
0.033,-0.930064588
0.0332,-0.990723587
0.0334,-0.930064588
0.0336,-1.051382586
0.0338,-0.869405588
0.034,-0.869405588
0.0342,-0.990723587
0.0344,-0.930064588
0.0346,-0.930064588
0.0348,-1.051382586
0.035,-0.687428591
0.0352,-0.74808759
0.0354,-0.808746589
0.0356,-0.930064588
0.0358,-0.74808759
0.036,-0.687428591
0.0362,-0.869405588
0.0364,-0.687428591
0.0366,-0.323474595
0.0368,-0.687428591
0.037,-0.869405588
0.0372,-0.626769591
0.0374,-0.74808759
0.0376,-0.687428591
0.0378,-0.74808759
0.038,-0.505451593
0.0382,-0.808746589
0.0384,-0.566110592
0.0386,-0.626769591
0.0388,-0.566110592
0.039,-0.505451593
0.0392,-0.444792594
0.0394,-0.687428591
0.0396,-0.74808759
0.0398,-0.626769591
0.04,-0.505451593
0.0402,-0.687428591
0.0404,-0.566110592
0.0406,-0.384133594
0.0408,-0.566110592
0.041,-0.384133594
0.0412,-0.505451593
0.0414,-0.505451593
0.0416,-0.505451593
0.0418,-0.384133594
0.042,-0.323474595
0.0422,-0.384133594
0.0424,-0.444792594
0.0426,0.1011384
0.0428,-0.262815596
0.043,-0.262815596
0.0432,-0.323474595
0.0434,-0.141497597
0.0436,-0.323474595
0.0438,-0.141497597
0.044,-0.141497597
0.0442,-0.202156597
0.0444,-0.141497597
0.0446,-0.141497597
0.0448,-0.262815596
0.045,-0.020179599
0.0452,-0.080838598
0.0454,-0.080838598
0.0456,-0.020179599
0.0458,-0.141497597
0.046,0.0404794
