Time_s,Thrust_N
0,-3.698527439
0.0002,-3.76258448
0.0004,-4.146926724
0.0006,-3.250128155
0.0008,-3.954755602
0.001,-3.378242236
0.0012,-4.082869683
0.0014,-3.826641521
0.0016,-3.122014074
0.0018,-4.339097846
0.002,-3.378242236
0.0022,-3.76258448
0.0024,-4.275040805
0.0026,-3.442299277
0.0028,-4.339097846
0.003,-3.250128155
0.0032,-3.890698561
0.0034,-3.890698561
0.0036,-3.378242236
0.0038,-4.146926724
0.004,-3.378242236
0.0042,-10.68074487
0.0044,-3.698527439
0.0046,-3.378242236
0.0048,-4.275040805
0.005,-3.057957033
0.0052,-3.890698561
0.0054,-3.76258448
0.0056,-3.378242236
0.0058,-4.082869683
0.006,-3.122014074
0.0062,-3.954755602
0.0064,-3.698527439
0.0066,-3.378242236
0.0068,-4.082869683
0.007,-3.122014074
0.0072,-4.018812643
0.0074,-3.378242236
0.0076,-3.570413358
0.0078,-4.210983765
0.008,-3.250128155
0.0082,-3.890698561
0.0084,-3.250128155
0.0086,-2.73767183
0.0088,-4.082869683
0.009,-2.673614789
0.0092,-3.76258448
0.0094,-3.954755602
0.0096,-3.826641521
0.0098,-3.506356318
0.01,-3.250128155
0.0102,-4.082869683
0.0104,-3.634470399
0.0106,-3.506356318
0.0108,-4.146926724
0.011,-3.250128155
0.0112,-3.954755602
0.0114,-3.442299277
0.0116,-3.442299277
0.0118,-4.210983765
0.012,-3.250128155
0.0122,-4.146926724
0.0124,-3.442299277
0.0126,-3.442299277
0.0128,-4.082869683
0.013,-3.186071114
0.0132,-4.082869683
0.0134,-3.506356318
0.0136,-3.442299277
0.0138,-4.018812643
0.014,-3.250128155
0.0142,-3.954755602
0.0144,-3.506356318
0.0146,-3.506356318
0.0148,-4.082869683
0.015,-3.122014074
0.0152,-4.339097846
0.0154,-3.378242236
0.0156,-4.146926724
0.0158,-3.890698561
0.016,-3.506356318
0.0162,-3.954755602
0.0164,-3.057957033
0.0166,-3.698527439
0.0168,-3.954755602
0.017,-3.250128155
0.0172,-4.339097846
0.0174,-3.506356318
0.0176,-3.634470399
0.0178,-3.954755602
0.018,-3.057957033
0.0182,-4.275040805
0.0184,-3.250128155
0.0186,-3.570413358
0.0188,-4.018812643
0.019,-2.993899992
0.0192,-4.275040805
0.0194,-3.378242236
0.0196,-3.954755602
0.0198,-4.082869683
0.02,-3.186071114
0.0202,-4.210983765
0.0204,-3.378242236
0.0206,-3.76258448
0.0208,-4.018812643
0.021,-3.250128155
0.0212,-4.339097846
0.0214,-3.378242236
0.0216,-3.890698561
0.0218,-3.954755602
0.022,-3.122014074
0.0222,-4.275040805
0.0224,-3.250128155
0.0226,-3.634470399
0.0228,-3.826641521
0.023,-3.250128155
0.0232,-4.210983765
0.0234,-3.186071114
0.0236,-3.76258448
0.0238,-3.826641521
0.024,-3.250128155
0.0242,-4.146926724
0.0244,-2.993899992
0.0246,-3.506356318
0.0248,-3.506356318
0.025,-3.442299277
0.0252,-4.275040805
0.0254,-2.865785911
0.0256,-3.76258448
0.0258,-3.76258448
0.026,-3.378242236
